firstname,lastname,country,disciplin_id,chance,desc
Nils,Allegre,fra,alpine-skiing-superg-men,1,"A French veteran known for his tactical intelligence who consistently hovers near the podium and thrives on the dark, icy conditions typical of the Stelvio."
Mattia,Casse,ita,alpine-skiing-superg-men,1,
Adrian,Sejersted,nor,alpine-skiing-superg-men,1,
Sofia,Goggia,ita,alpine-skiing-superg-women,4,"The home-soil ""Queen of Speed"" who enters the Olympics with the red bib and a singular focus on home-court dominance."
Lindsey,Vonn,usa,alpine-skiing-superg-women,2,"A 41-year-old miracle who is using her legendary ""Strahler"" (gliding) ability to defy age and the laws of physics."
Alice,Robinson,nzl,alpine-skiing-superg-women,3,A fearless charger from New Zealand whose aggressive Giant Slalom turns make her a nightmare for the European favorites.
Emma,Aicher,ger,alpine-skiing-superg-women,3,"Germany’s ""Swiss Army Knife"" who proved she is a gold-medal threat by winning the final World Cup Super-G before the Games"
Romane,Miradoli,fra,alpine-skiing-superg-women,2,"A relentless French veteran who has found a new level of consistency this season, currently sitting in the World Cup Top 5 and proving she can challenge for a medal on any technical track."
Mikaela,Shiffrin,usa,alpine-skiing-superg-women,2,"The tactical genius who can win any Super-G race that rewards technical precision over raw, blind speed."
Elena,Curtoni,ita,alpine-skiing-superg-women,2,"Italy’s ""clutch"" performer who has overcome early-season injuries to reclaim her spot as a front-runner, recently securing a Top-15 finish in Tarvisio to signal her readiness for home-court glory."
Etster,Ledecka,cze,alpine-skiing-superg-women,1,"The ""Shadow Queen"" who consistently flies under the radar before exploding for a podium on the biggest of stages."
Cornelia,Hütter,aut,alpine-skiing-superg-women,1,Austria’s most reliable speed specialist who thrives when the track is icy and the pressure is at its peak.
Kajsa Vickhoff,Lie,nor,alpine-skiing-superg-women,1,"Norway’s ""Attacking Viking"" who prioritizes Super-G as her main discipline and arrives in Cortina with a reputation for taking the massive risks necessary to secure a major championship medal."
Federica,Brignone,ita,alpine-skiing-superg-women,2,
Keely,Cashman,usa,alpine-skiing-superg-women,1,"The rising American talent who just delivered a career-best 5th place finish in the Tarvisio Super-G, marking her as the ultimate dark horse entering the Olympics in peak form."
Kira,Weidle-Winkelmann,ger,alpine-skiing-superg-women,1,
Laura,Pirovano,ita,alpine-skiing-superg-women,1,
Malorie,Blanc,sui,alpine-skiing-superg-women,1,
Ariane,Raedler,aut,alpine-skiing-superg-women,1,
Marco,Odermatt,sui,alpine-skiing-giant-slalom-men,4,The surgical master of the discipline who is currently on a trajectory to become the greatest Giant Slalom skier in history.
Marco,Schwarz,aut,alpine-skiing-giant-slalom-men,3,Austria’s comeback king who proved in Alta Badia that he is the only man capable of beating Odermatt in a head-to-head technical battle.
Henrik,Kristoffersen,nor,alpine-skiing-giant-slalom-men,2,A modern legend who has sacrificed everything to find the perfect setup for one last shot at Olympic GS Gold.
Lucas,Pinheiro Braathen,bra,alpine-skiing-giant-slalom-men,3,"The flamboyant ""dancing"" specialist who is determined to bring Brazil its first-ever Winter Olympic medal through sheer technical brilliance."
Loic,Meillard,sui,alpine-skiing-giant-slalom-men,3,"The Swiss technician whose flawless carving ability makes him the most dangerous ""second option"" in the world."
Stefan,Brennsteiner,aut,alpine-skiing-giant-slalom-men,2,"A high-speed ""gambler"" who possesses the raw pace to win the race if he can stay on his skis for both runs."
Alex,Vinatzer,ita,alpine-skiing-giant-slalom-men,1,"The local hero who has finally found his Giant Slalom ""touch"" just in time to challenge for a medal on his home mountains."
Atle Lie,McGrath,nor,alpine-skiing-giant-slalom-men,2,A top Norwegian contender who just took the Slalom lead in Wengen and is hunting for his first Olympic Giant Slalom medal in 2026.
Timon,Haugan,nor,alpine-skiing-giant-slalom-men,2,"A consistent technical powerhouse for Norway, currently sitting near the top of the World Cup standings and looking to improve on his previous Olympic appearances."
River,Radamus,usa,alpine-skiing-giant-slalom-men,1,America’s most creative technical skier who is consistently knocking on the door of the elite podium.
Luca,Aerni,sui,alpine-skiing-giant-slalom-men,1,A Swiss veteran and former World Champion in combined who remains a dangerous threat in the technical Giant Slalom events for the upcoming Games.
Fabian,Gratz,ger,alpine-skiing-giant-slalom-men,1,
Julia,Scheib,aut,alpine-skiing-giant-slalom-women,4,"The absolute breakout star of the season; she is holding the red bib with three dominant victories (Sölden, Tremblant, Semmering) and looks unstoppable."
Camille,Rast,sui,alpine-skiing-giant-slalom-women,3,"Currently second in the discipline standings, she has found incredible consistency and is skiing with career-best confidence."
Mikaela,Shiffrin,usa,alpine-skiing-giant-slalom-women,2,"While currently 5th in the GS standings, her tactical genius and experience make her a perennial podium contender."
Alice,Robinson,nzl,alpine-skiing-giant-slalom-women,3,"Bringing unmatched raw speed and aggression, she is a constant threat for the win but carries higher risk of DNF."
Sara,Hector,swe,alpine-skiing-giant-slalom-women,2,"The defending Olympic champion is finding her form right on time, sitting 4th in the standings and skiing solidly."
Federica,Brignone,ita,alpine-skiing-giant-slalom-women,2,"The 2025 Globe winner has had a slower start to this season but is a dangerous veteran, especially on Italian snow."
Paula,Moltzan,usa,alpine-skiing-giant-slalom-women,2,"Fresh off a runner-up finish in Sölden this season, she is a high-risk, high-reward skier who can storm the podium if she eliminates the small mistakes."
Lara,Colturi,alb,alpine-skiing-giant-slalom-women,1,"The teenage prodigy is consistently cracking the top 10 this winter (7th in the opener), making her a dangerous dark horse for a surprise medal."
Thea Louise,Stjernesund,nor,alpine-skiing-giant-slalom-women,1,Consistently knocking on the door of the top 5 and could capitalize on mistakes.
Valerie,Grenier,can,alpine-skiing-giant-slalom-women,1,"Having successfully returned from injury with a bronze medal in Mont-Tremblant this December, she is a proven winner who excels on the steep Italian pitches."
Zrinka,Ljutic,cro,alpine-skiing-giant-slalom-women,1,A slalom specialist whose giant slalom skills have improved enough to threaten for a surprise medal.
Nina,O'Brien,usa,alpine-skiing-giant-slalom-women,1,
Sofia,Goggia,ita,alpine-skiing-giant-slalom-women,1,
Lou,Jeanmonnot,fra,biathlon-individual-women,3,"As the current discipline leader with the best shooting percentage in the field, she is the safest bet for this format where accuracy is king."
Lisa,Vittozzi,ita,biathlon-individual-women,4,"The defending World Champion in this event and home favorite has the perfect blend of speed and calm shooting, though pressure will be immense."
Dorothea,Wierer,ita,biathlon-individual-women,3,
Suvi,Minkkinen,fin,biathlon-individual-women,2,A stealthy competitor who rarely misses and currently sits high in the discipline standings.
Maren,Kirkeeide,nor,biathlon-individual-women,2,A rising star who has climbed the World Cup standings this winter with remarkable consistency on the range.
Justine,Braisaz-Bouchet,fra,biathlon-individual-women,2,"The fastest skier on the circuit who will win gold by a minute if she shoots clean, but risks falling out of the top 10 with just a few misses."
Hanna,Oeberg,swe,biathlon-individual-women,2,The 2018 Olympic Champion in this specific event knows exactly how to peak for the big occasion despite a quieter season.
Elvira,Oeberg,swe,biathlon-individual-women,3,"Her ski speed guarantees a medal contention, but she must manage her nerves on the shooting range to avoid costly penalty minutes."
Fransizska,Preuss,ger,biathlon-individual-women,2,A precision shooter who excels in the Individual format and has shown consistent podium form this season.
Camille,Bened,fra,biathlon-individual-women,2,
Sonja,Leinamo,fin,biathlon-individual-women,1,
Anna,Magnusson,swe,biathlon-individual-women,1,
Marketa,Davidova,cze,biathlon-individual-women,1,
Lisa,Hauser,aut,biathlon-individual-women,1,
Vanessa,Voigt,ger,biathlon-individual-women,1,
Karoline,Knotten,nor,biathlon-individual-women,1,
Oceane,Michelon,fra,biathlon-individual-women,1,
Rebecca,Passler,ita,biathlon-individual-women,1,
Julia,Simon,fra,biathlon-individual-women,2,"An elite all-rounder who can win any race, though her aggressive shooting style is slightly riskier in the 15km format."
Amy,Baserga,sui,biathlon-individual-women,1,
Lou,Jeanmonnot,fra,biathlon-sprint-women,4,The current Sprint Crystal Globe leader and most consistent biathlete of the 2025/2026 season. Her combination of a top-tier shooting percentage and clinical finishing speed makes her the gold medal benchmark.
Suvi,Minkkinen,fin,biathlon-sprint-women,2,"The breakout star of the season, currently 2nd in the sprint standings. While she lacks the raw power of the French or Swedes, her ability to consistently shoot 10/10 keeps her on the podium nearly every weekend."
Hanna,Oeberg,swe,biathlon-sprint-women,3,"The winner of the most recent sprint in Ruhpolding (Jan 16, 2026). She has a legendary ability to peak for major championships and is currently back to her best form."
Elvira,Oeberg,swe,biathlon-sprint-women,3,"A true ""sprint specialist"" who won in Oberhof this month with a clean sheet. She is arguably the fastest skier on the circuit; if she hits 10/10, the gold is likely hers, but one standing miss can be her undoing."
Maren,Kirkeeide,nor,biathlon-sprint-women,2,The U23 sensation who has carried the Norwegian team this winter. Her aggressive skiing style is perfectly suited for the 7.5km distance.
Anna,Magnusson,swe,biathlon-sprint-women,1,Currently 6th in the world standings and a consistent top-6 finisher in the sprint format this year.
Lisa,Vittozzi,ita,biathlon-sprint-women,3,"Though she has focused more on the long-distance Individual event this season, the home-snow advantage in Antholz-Anterselva makes her a threat if she clears the standing stage quickly."
Dorothea,Wierer,ita,biathlon-sprint-women,2,The veteran Italian star has shown flashes of her old speed this January; a clean shooting performance in front of her home crowd could lead to a fairytale result.
Julia,Simon,fra,biathlon-sprint-women,2,A sprint world champion (2024) who thrives on the high-intensity atmosphere of the Olympic range.
Camille,Bened,fra,biathlon-sprint-women,1,A rising talent on the deep French squad who has been knocking on the door of the top 5 all season.
Fransizska,Preuss,ger,biathlon-sprint-women,2,"The reigning World Cup overall champion from last season has struggled with minor health issues this winter, but her experience makes her dangerous if she is at 100%."
Justine,Braisaz-Bouchet,fra,biathlon-sprint-women,2,"The defending Sprint World Champion (2025). Her shooting has been erratic this winter (15th in sprint standings), but her skiing ""engine"" is so large she can medal even with a penalty."
Oceane,Michelon,fra,biathlon-sprint-women,1,
Lisa,Hauser,aut,biathlon-sprint-women,1,
Anamarija,Lampic,slo,biathlon-sprint-women,1,
Ingrid,Tandrevold,nor,biathlon-sprint-women,1,
Marketa,Davidova,cze,biathlon-sprint-women,1,
Lou,Jeanmonnot,fra,biathlon-pursuit-women,4,"The undisputed ""Queen of the Pursuit"" this season. She has won two pursuits already (including the most recent in Ruhpolding on Jan 18) and leads the overall standings. Her 90%+ shooting accuracy makes her almost impossible to shake once she takes the lead."
Suvi,Minkkinen,fin,biathlon-pursuit-women,2,"The most consistent ""clean shooter"" in the field and currently 2nd in the overall standings. She rarely gains time on the skis but moves up the leaderboard by hitting 20/20 targets while others head to the penalty loop."
Hanna,Oeberg,swe,biathlon-pursuit-women,3,"Currently in peak form after a massive week in Ruhpolding (1st in Sprint, 2nd in Pursuit). She is a big-event performer who loves the tactical cat-and-mouse game of the pursuit."
Elvira,Oeberg,swe,biathlon-pursuit-women,3,"The winner of the Oberhof pursuit this January. She is the fastest ""chaser"" in the world; even if she starts 30 seconds back, she can hunt down the leaders. Her only weakness is the final standing shoot, where high-pressure misses can cost her the gold."
Anna,Magnusson,swe,biathlon-pursuit-women,2,"A very reliable shooter who is currently 6th in the world standings; she is a ""points machine"" who could snag a medal if the favorites falter."
Maren,Kirkeeide,nor,biathlon-pursuit-women,2,"The top Norwegian this winter. She has finished 4th in recent pursuits and is the most reliable ""closer"" on her team, capable of a late-race surge for the bronze."
Camille,Bened,fra,biathlon-pursuit-women,2,A rising star who just secured her first pursuit podium (3rd) in Ruhpolding. She is currently riding a wave of confidence and is part of the dominant French training group.
Lisa,Vittozzi,ita,biathlon-pursuit-women,3,"While her season started slowly due to injury, she is a master of the pursuit format. Racing in front of a home Italian crowd, her fast shooting rhythm can put immediate pressure on the leaders."
Justine,Braisaz-Bouchet,fra,biathlon-pursuit-women,2,"She has the speed to make up massive deficits, but the four shooting stages in a pursuit often expose her inconsistency."
Dorothea,Wierer,ita,biathlon-pursuit-women,2,
Fransizska,Preuss,ger,biathlon-pursuit-women,2,"A steady veteran who is consistently in the top 7. If the lead group gets into a ""shooting battle,"" her experience allows her to stay calm and capitalize on their mistakes."
Julia,Simon,fra,biathlon-pursuit-women,2,"The 2024 World Champion in this event. She has the ""killer instinct"" needed for pursuit racing, though her shooting has been slightly more erratic this winter than in previous years."
Amy,Baserga,sui,biathlon-pursuit-women,1,"Coming off a career-best 5th place in Ruhpolding, she is proving that she can compete with the elite when the conditions are difficult."
Oceane,Michelon,fra,biathlon-pursuit-women,1,
Lisa,Hauser,aut,biathlon-pursuit-women,1,
Anamarija,Lampic,slo,biathlon-pursuit-women,1,
Ingrid,Tandrevold,nor,biathlon-pursuit-women,1,
Marketa,Davidova,cze,biathlon-pursuit-women,1,
Marthe,Johansen,nor,biathlon-pursuit-women,1,
Maren,Kirkeeide,nor,biathlon-mass-start-women,3,
Lou,Jeanmonnot,fra,biathlon-mass-start-women,4,
Justine,Braisaz-Bouchet,fra,biathlon-mass-start-women,2,
Elvira,Oeberg,swe,biathlon-mass-start-women,3,
Dorothea,Wierer,ita,biathlon-mass-start-women,3,
Hanna,Oeberg,swe,biathlon-mass-start-women,2,
Camille,Bened,fra,biathlon-mass-start-women,1,
Amy,Baserga,sui,biathlon-mass-start-women,1,
Fransizska,Preuss,ger,biathlon-mass-start-women,2,
Vanessa,Voigt,ger,biathlon-mass-start-women,1,
Karoline,Knotten,nor,biathlon-mass-start-women,1,
Lisa,Vittozzi,ita,biathlon-mass-start-women,2,
Suvi,Minkkinen,fin,biathlon-mass-start-women,1,
Julia,Simon,fra,biathlon-mass-start-women,2,
Ingrid,Tandrevold,nor,biathlon-mass-start-women,1,
Anna,Magnusson,swe,biathlon-mass-start-women,1,
Lisa,Hauser,aut,biathlon-mass-start-women,1,
Marketa,Davidova,cze,biathlon-mass-start-women,1,
Oceane,Michelon,fra,biathlon-mass-start-women,1,
Team,France - Biathlon Women,fra,biathlon-relay-women,4,
Team,Norway - Biathlon Women,nor,biathlon-relay-women,3,
Team,Sweden - Biathlon Women,swe,biathlon-relay-women,3,
Team,Italy - Biathlon Women,ita,biathlon-relay-women,2,
Team,Germany - Biathlon Women,ger,biathlon-relay-women,2,
Team,Finland - Biathlon Women,fin,biathlon-relay-women,1,
Team,Czech Republic - Biathlon Women,cze,biathlon-relay-women,1,
Team,France - Biathlon Mixed,fra,biathlon-relay-mixed,4,
Team,Norway - Biathlon Mixed,nor,biathlon-relay-mixed,3,
Team,Italy - Biathlon Mixed,ita,biathlon-relay-mixed,2,
Team,Sweden - Biathlon Mixed,swe,biathlon-relay-mixed,3,
Team,Germany - Biathlon Mixed,ger,biathlon-relay-mixed,2,
Team,USA - Biathlon Mixed,usa,biathlon-relay-mixed,1,
Team,Czech Republic - Biathlon Mixed,cze,biathlon-relay-mixed,1,
Team,Finland - Biathlon Mixed,fin,biathlon-relay-mixed,1,
Team,Switzerland – Biathlon Mixed,sui,biathlon-relay-mixed,1,
Johan-Olav,Botn,nor,biathlon-individual-men,3,The current discipline leader who can win by huge margins if his range work matches his elite ski speed.
Eric,Perrot,fra,biathlon-individual-men,4,"The reigning World Champion and fastest skier this season, making him the man to beat if he stays calm on the mats."
Tommaso,Giacomel,ita,biathlon-individual-men,3,The overall World Cup leader carrying the hopes of Italy; he’s a podium lock if he survives the final standing bout.
Emilien,Jacquelin,fra,biathlon-individual-men,1,"An instinctive ""artist"" on skis whose lightning-fast shooting could deliver a medal or a collapse in this high-penalty format."
Martin,Uldal,nor,biathlon-individual-men,2,"A model of consistency currently sitting second in the individual standings, making him a major threat for a podium."
Sebastian,Samuelsson,swe,biathlon-individual-men,2,A tactical master at altitude who has tailored his entire 2026 preparation to peak for this specific gold medal.
Sturla Holm,Laegreid,nor,biathlon-individual-men,3,The world’s best shooter and defending overall champ; his 90%+ accuracy makes him a safe bet for an Olympic medal.
Lukas,Hofer,ita,biathlon-individual-men,1,"The veteran Italian ""speedster"" who could ride a wave of home-crowd energy to one final surprise career podium."
Sturla Holm,Laegreid,nor,biathlon-individual-men,1,
Quentin,Fillon Maillet,fra,biathlon-individual-men,2,"The defending champion whose experience and Olympic ""clutch"" factor make him dangerous despite a quieter season."
Johannes,Dale-Skjevdal,nor,biathlon-individual-men,1,"One of the fastest finishers in the world who needs a rare ""clean"" day on the range to grab a medal."
Oscar,Lombardot,fra,biathlon-individual-men,1,A steady young Frenchman who is capable of a top-10 finish if the high-altitude conditions cause the favorites to miss.
